Siparis_ID,Urun_Tipi,Siparis_Adedi,Hedef_Gramaj_g,Geri_Donusumlu_Kagit_Orani,Hammadde_Nem_Orani,Firin_Hizi_m_dk,Firin_Sicakligi_C,Dogalgaz_Tuketimi_m3,Elektrik_Tuketimi_kWh
S-10001,Standart Yumurta Viyolu,13278,49,0.81,0.145,36.96,215.9,347.11,643.74
S-10002,Premium Meyve Viyolu,39256,64,0.72,0.137,33.03,222.5,559.35,788.27
S-10003,Standart Yumurta Viyolu,98696,53,0.75,0.068,24.13,211.5,439.28,1027.44
S-10004,Standart Yumurta Viyolu,87397,51,0.88,0.064,23.76,202.0,351.54,964.41
S-10005,Standart Yumurta Viyolu,13905,46,0.76,0.101,32.77,182.8,282.39,612.69
S-10006,Premium Meyve Viyolu,40495,76,0.72,0.145,43.97,228.5,515.16,900.23
S-10007,Standart Yumurta Viyolu,83563,48,0.91,0.094,18.66,209.7,422.41,843.76
S-10008,Endüstriyel Ambalaj Viyolu,38893,108,0.79,0.102,31.4,191.1,610.65,754.74
S-10009,Oluklu Mukavva Kutu,10851,190,0.73,0.07,16.36,199.5,1599.66,375.71
S-10010,Endüstriyel Ambalaj Viyolu,54597,97,0.95,0.086,23.43,212.6,480.89,744.39
S-10011,Premium Meyve Viyolu,38221,90,0.72,0.149,38.17,191.9,590.09,857.26
S-10012,Oluklu Mukavva Kutu,23396,173,0.93,0.057,25.75,187.0,580.04,603.75
S-10013,Endüstriyel Ambalaj Viyolu,22676,102,0.8,0.056,24.33,199.5,658.56,589.7
S-10014,Oluklu Mukavva Kutu,89131,217,0.97,0.097,18.59,222.8,1073.84,979.18
S-10015,Standart Yumurta Viyolu,70217,53,0.93,0.099,30.68,205.7,258.15,933.27
S-10016,Standart Yumurta Viyolu,59615,46,0.79,0.101,42.23,195.0,260.88,993.23
S-10017,Oluklu Mukavva Kutu,92397,242,0.77,0.058,23.69,189.7,1305.52,1018.07
S-10018,Premium Meyve Viyolu,19116,61,0.94,0.069,41.78,212.4,189.59,735.84
S-10019,Premium Meyve Viyolu,47930,62,0.77,0.093,39.54,231.6,402.9,897.52
S-10020,Premium Meyve Viyolu,23238,72,0.83,0.072,18.6,200.3,609.34,502.24
S-10021,Oluklu Mukavva Kutu,69429,243,0.86,0.12,25.91,238.3,1351.91,881.27
S-10022,Premium Meyve Viyolu,58520,71,0.79,0.054,33.29,210.2,389.0,910.71
S-10023,Premium Meyve Viyolu,97841,68,0.74,0.099,44.57,194.5,357.59,1329.63
S-10024,Standart Yumurta Viyolu,89840,55,0.77,0.123,26.03,217.9,559.65,1105.37
S-10025,Premium Meyve Viyolu,80010,83,0.73,0.134,24.62,191.2,741.06,916.66
S-10026,Premium Meyve Viyolu,31417,74,0.9,0.052,30.36,193.6,281.71,701.57
S-10027,Endüstriyel Ambalaj Viyolu,45382,120,0.91,0.089,43.1,188.3,315.82,920.17
S-10028,Premium Meyve Viyolu,99733,70,0.98,0.138,22.74,219.6,396.78,1095.58
S-10029,Standart Yumurta Viyolu,40021,45,0.86,0.074,17.79,233.8,510.95,612.18
S-10030,Oluklu Mukavva Kutu,62581,218,0.8,0.085,36.78,233.8,1037.77,981.55
